Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;45.50;46.61;45.50;45.96;"03/08/2026 17:38";CET;795551;36658651.16;45.96;03/08/2026
"ACCOR USD";FR0000120404;ACMC;"Euronext Paris - Multi-currency Trading";USD;53.48;53.56;53.08;53.26;"30/07/2026 15:46";CET;597;31862.26;53.26;03/08/2026
ACHETER-LOUER.FR;FR0014011O84;ALALO;"Euronext Growth Paris";EUR;0.0006;0.0008;0.0006;0.0006;"03/08/2026 17:35";CET;6341658;3810.16;0.0006;03/08/2026
ACTEOS;FR0000076861;EOS;"Euronext Paris";EUR;0.83;0.85;0.83;0.85;"03/08/2026 09:25";CET;62;52.46;0.85;03/08/2026
"ACTIA GROUP";FR0000076655;ALATI;"Euronext Growth Paris";EUR;3.90;4.01;3.82;4.01;"03/08/2026 17:35";CET;7713;30428.51;4.01;03/08/2026
"ACTIVIUM GROUP";FR0010979377;MLACT;"Euronext Access Paris";EUR;2.00;2.00;2.00;2.00;"31/07/2026 16:30";CET;50;100.00;2.00;03/08/2026
"ADC SIIC";BE0974269012;ALDV;"Euronext Paris";EUR;0.08;0.08;0.08;0.08;"03/08/2026 11:30";CET;6000;480.00;0.08;03/08/2026
ADEUNIS;FR0013284627;ALARF;"Euronext Growth Paris";EUR;0.84;0.84;0.84;0.84;"03/08/2026 11:12";CET;65;54.60;0.84;03/08/2026
ADOCIA;FR0011184241;ADOC;"Euronext Paris";EUR;4.00;4.00;3.866;3.94;"03/08/2026 17:35";CET;84701;332626.92;3.94;03/08/2026
"ADOCIA BSA";FR001400XVZ4;ADOBS;"Euronext Growth Paris";EUR;7.00;7.00;7.00;7.00;"22/04/2026 12:15";CET;1428;9996.00;7.00;03/08/2026
ADOMOS;FR00140153H3;ALADO;"Euronext Growth Paris";EUR;0.40;0.429;0.40;0.429;"03/08/2026 17:20";CET;1420;597.00;0.429;03/08/2026
ADP;FR0010340141;ADP;"Euronext Paris";EUR;120.60;121.40;118.10;118.90;"03/08/2026 17:35";CET;155914;18593999.00;118.90;03/08/2026
ADUX;FR0012821890;ALDUX;"Euronext Growth Paris";EUR;1.38;1.38;1.25;1.25;"03/08/2026 17:04";CET;15569;19889.42;1.25;03/08/2026
ADVICENNE;FR0013296746;ALDVI;"Euronext Growth Paris";EUR;1.72;1.728;1.62;1.634;"03/08/2026 17:35";CET;70306;118085.76;1.634;03/08/2026
ADVINI;FR0000053043;ALAVI;"Euronext Growth Paris";EUR;16.70;16.80;16.70;16.80;"03/08/2026 10:57";CET;46;772.70;16.80;03/08/2026
"AELIS FARMA";FR0014007ZB4;AELIS;"Euronext Paris";EUR;1.04;1.04;1.012;1.014;"03/08/2026 17:35";CET;7331;7479.15;1.014;03/08/2026
"AERKOMM INC";US00774B2088;AKOM;"Euronext Paris";EUR;2.80;2.80;2.80;2.80;"24/09/2025 17:35";CET;1565;4382.00;2.80;03/08/2026
AFYREN;FR0014005AC9;ALAFY;"Euronext Growth Paris";EUR;2.75;2.77;2.74;2.77;"03/08/2026 17:28";CET;3556;9785.92;2.77;03/08/2026
AG3I;FR0011908045;MLAGI;"Euronext Access Paris";EUR;0.635;0.635;0.635;0.635;"08/09/2025 16:30";CET;1;0.64;0.635;03/08/2026
"AGENCE AUTO";FR0014005WE9;MLAA;"Euronext Access Paris";EUR;2.00;2.00;2.00;2.00;"17/07/2026 11:30";CET;500;1000.00;2.00;03/08/2026
"AGP MALAGA SOCIMI";ES0105478004;MLAGP;"Euronext Access Paris";EUR;2.96;2.96;2.96;2.96;"16/05/2024 11:30";CET;61302;181453.92;2.54;03/08/2026
AGRIPOWER;FR0013452281;ALAGP;"Euronext Growth Paris";EUR;0.942;0.942;0.91;0.936;"03/08/2026 16:59";CET;681;638.29;0.936;03/08/2026
AGROGENERATION;FR0010641449;ALAGR;"Euronext Growth Paris";EUR;0.0484;0.0534;0.0484;0.049;"03/08/2026 17:08";CET;187401;9255.58;0.049;03/08/2026
"AIR FRANCE -KLM";FR001400J770;AF;"Euronext Paris, Amsterdam";EUR;12.505;12.81;12.40;12.445;"03/08/2026 17:35";CET;1417272;17768419.03;12.445;03/08/2026
"AIR LIQUIDE";FR0000120073;AI;"Euronext Paris";EUR;170.54;171.56;169.24;170.32;"03/08/2026 17:35";CET;965815;164536009.44;170.32;03/08/2026
AIRBUS;NL0000235190;AIR;"Euronext Paris";EUR;206.35;209.85;206.30;208.00;"03/08/2026 17:39";CET;1121553;233416011.79;208.00;03/08/2026
AIRWELL;FR0014003V77;ALAIR;"Euronext Growth Paris";EUR;1.24;1.26;1.22;1.24;"03/08/2026 17:35";CET;12309;15275.99;1.24;03/08/2026
AKWEL;FR0000053027;AKW;"Euronext Paris";EUR;6.60;6.72;6.60;6.66;"03/08/2026 17:35";CET;3594;23954.72;6.66;03/08/2026
